u,v,key,osmid,highway,oneway,reversed,length,bridge,name,ref,lanes,maxspeed,tunnel,width,est_width,access
1281069635,1281082439,0,112772503,residential,False,True,158.48942478430732,,,,,,,,,
1281069635,1281146011,0,372751167,tertiary,False,False,328.94813519147084,,,,,,,,,
1281069635,1281116641,0,372751167,tertiary,False,True,1152.7891851208276,,,,,,,,,
1281069680,1281096775,0,112771731,unclassified,False,True,82.54046284832995,,,,,,,,,
1281069680,1281078645,0,112772468,unclassified,False,False,504.4687757553555,,,,,,,,,
1281069680,1281144370,0,112772595,unclassified,False,False,206.775344657851,,,,,,,,,
1281069706,1281093397,0,1238200622,secondary,False,True,39.270306301191205,,飯田港線,138,2,,,,,
1281069706,1281080920,0,"[1238200624, 1238200623]",trunk,False,True,85.97174893890312,,国道249号,249,2,50,,,,
1281069706,1281131454,0,"[1238200625, 112773468]",trunk,False,False,199.09512839799572,,国道249号,249,2,50,,,,
1281069706,3763065448,0,"[1238200626, 737900690]",tertiary,False,True,784.7242070513522,,,,2,,,,,
1281069725,10874967811,0,1169519326,unclassified,False,False,165.1778254944286,,,,,,,,,
1281069725,1281104093,0,112771146,residential,False,True,133.44546500835366,,,,,,,,,
1281069725,10874967785,0,1169519326,unclassified,False,True,226.63511526703456,,,,,,,,,
1281069755,11492231676,0,112773079,residential,False,False,1.9634817928421828,,,,,,,,,
1281069755,1281084387,0,112773186,residential,False,True,145.3451738062464,,,,,,,,,
1281069755,1281071539,0,112773770,residential,False,False,116.3905372006602,,,,,,,,,
1281069767,1281071912,0,112773907,unclassified,False,False,1003.7891412084085,,,,,,,,,
1281069767,1281086297,0,1238085166,tertiary,False,False,1169.6876041083115,,珠洲広域農道,,2,,,,,
1281069767,1281084228,0,1238085166,tertiary,False,True,999.5726314409376,,珠洲広域農道,,2,,,,,
1281069792,1281140647,0,112772048,residential,False,False,97.47668542182547,,,,,,,,,
1281069792,1281074917,0,112774955,residential,False,False,114.09424322555552,,,,,,,,,
1281069792,1281125857,0,"[112771914, 112774955]",residential,False,True,401.5640575798399,,,,,,,,,
1281069855,1281107042,0,112770800,unclassified,False,True,236.99569537203985,,,,,,,,,
1281069855,1281086541,0,"[1237294641, 112771162]",unclassified,False,False,271.7657147173328,,,,,,,,,
1281069855,1281147285,0,1237209709,unclassified,False,True,138.29110360749564,,,,,,,,,
1281069863,1281075883,0,112771942,residential,False,False,193.337414869552,,,,,,,,,
1281069863,1281147581,0,112773728,trunk,False,False,214.0456999165388,,国道249号,249,2,50,,,,
1281069863,1281075237,0,112773728,trunk,False,True,95.18140374362211,,国道249号,249,2,50,,,,
1281069889,1281084186,0,112772221,residential,False,True,157.66740803397678,,,,,,,,,
1281069889,1281140899,0,112773105,unclassified,False,True,80.97755371117186,,,,,,,,,
1281069889,1281071563,0,112771158,unclassified,False,False,182.85525087233123,,,,,,,,,
1281069889,1281077914,0,464729380,residential,False,False,59.57641660034368,,,,,,,,,
1281069919,1281130920,0,"[112770604, 112772405]",unclassified,False,True,436.72187605981514,,,,,,,,,
1281069976,1281130007,0,112770876,unclassified,False,False,83.44181599654996,,,,,,,,,
1281069976,1281146765,0,"[112770920, 1237187448, 1237187447]",unclassified,False,False,253.3164699844853,yes,,,,,,,,
1281069976,1281081435,0,"[112771796, 112771564, 112773325, 112773615]",unclassified,False,False,728.3512324519163,,,,,,,,,
1281070017,1281143426,0,112771618,tertiary,False,True,62.28574023225459,,,,2,,,,,
1281070017,10874967723,0,112771618,tertiary,False,False,93.82784593342026,,,,2,,,,,
1281070017,10874967719,0,"[1169519300, 1169519301]",residential,False,"[False, True]",140.13220974913705,,,,,,,,,
1281070188,1281073417,0,112773948,tertiary,False,True,55.37017382957715,,,,2,,,,,
1281070188,1281140919,0,"[112774089, 112773747, 112770719]",unclassified,False,"[False, True]",649.2687206581827,,,,,,,,,
